target,model,samples_total,samples_train,samples_test,accuracy,f1,precision,recall,log_loss,brier,roc_auc
q3,logreg,6411,5128,1283,0.711613,0.734957,0.694181,0.780822,0.543727,0.183499,0.802274
q3,rf,6411,5128,1283,0.652377,0.70227,0.625446,0.800609,0.620459,0.215803,0.721337
q3,gb,6411,5128,1283,0.70304,0.730361,0.68254,0.785388,0.559663,0.189753,0.785747
q3,ensemble_avg_prob,6411,5128,1283,0.714731,0.74189,0.691196,0.800609,0.554672,0.187474,0.794681
