target,model,samples_total,samples_train,samples_test,accuracy,f1,precision,recall,log_loss,brier,roc_auc
q4,catboost,4608,3686,922,0.733189,0.767045,0.737705,0.798817,0.517431,0.17453,0.818407
q4,xgb_cat,4608,3686,922,0.725597,0.758357,0.735185,0.783037,0.562114,0.187089,0.799881
q4,ensemble_avg_prob,4608,3686,922,0.738612,0.772427,0.740942,0.806706,0.525071,0.176402,0.813911
