iter	Logloss
0	0.674851996
1	0.6580656485
2	0.6427482292
3	0.6309815533
4	0.6196245499
5	0.6099890275
6	0.602121162
7	0.5917084541
8	0.5828366841
9	0.5740642362
10	0.5659888276
11	0.5589590155
12	0.5532943623
13	0.5474277027
14	0.5417920058
15	0.5358805366
16	0.5316842511
17	0.5287974544
18	0.5245562789
19	0.5217949321
20	0.5189600741
21	0.5153519923
22	0.5132005482
23	0.5098964105
24	0.5080598973
25	0.505318832
26	0.5030433299
27	0.4999105569
28	0.497859498
29	0.4960604645
30	0.4945935038
31	0.4925328446
32	0.4914314363
33	0.4900470095
34	0.4883602373
35	0.4864052373
36	0.4850141853
37	0.4838146773
38	0.4822533813
39	0.4812580561
40	0.4794930222
41	0.4785870426
42	0.4777451493
43	0.4768269467
44	0.4748579418
45	0.473580886
46	0.4722937279
47	0.4708662662
48	0.4695206696
49	0.4686695975
50	0.4675555799
51	0.4666967904
52	0.4656589993
53	0.4647349177
54	0.4639594114
55	0.4625313753
56	0.4615713567
57	0.4606047318
58	0.45958393
59	0.4584561502
60	0.4571027525
61	0.4565599288
62	0.4552743462
63	0.4540914307
64	0.4531807055
65	0.4517962846
66	0.4509754698
67	0.4503062739
68	0.4495922476
69	0.4490624205
70	0.4485461041
71	0.4479796534
72	0.4470602474
73	0.4458910308
74	0.4451179653
75	0.4443508658
76	0.4434438347
77	0.4421644125
78	0.4414776924
79	0.4404452628
80	0.4398183111
81	0.439495364
82	0.4389248002
83	0.4382992881
84	0.4376806472
85	0.4372020589
86	0.4366928135
87	0.4360695382
88	0.4350004673
89	0.4340893647
90	0.4337683878
91	0.4334386197
92	0.4325922955
93	0.4316964406
94	0.4314629489
95	0.4309791992
96	0.4300138835
97	0.4289219571
98	0.428477958
99	0.4276872375
100	0.4266879747
101	0.4256231759
102	0.4247684537
103	0.4239394552
104	0.4231754268
105	0.4224646707
106	0.4219038865
107	0.4211730313
108	0.4207130942
109	0.4200454297
110	0.4190010794
111	0.4185451032
112	0.4178969558
113	0.4170853456
114	0.4166455754
115	0.4159017379
116	0.4152295552
117	0.4146160245
118	0.4141615671
119	0.4135403266
120	0.4129515361
121	0.4125473968
122	0.4117932647
123	0.4114279962
124	0.4109131755
125	0.4102992446
126	0.4096646726
127	0.4088292299
128	0.4078904929
129	0.4076605735
130	0.4072510372
131	0.4068053359
132	0.4060766868
133	0.405377806
134	0.4047884854
135	0.4042649247
136	0.4033922701
137	0.4031751899
138	0.402916369
139	0.4022418062
140	0.4020069854
141	0.4015544584
142	0.4010636533
143	0.4006944541
144	0.4003050874
145	0.3998097269
146	0.3994655071
147	0.3987934544
148	0.3985766583
149	0.3977992394
150	0.3972083688
151	0.3968333343
152	0.3961709602
153	0.3957620116
154	0.3952393132
155	0.3944453804
156	0.393736201
157	0.3929929759
158	0.3924813203
159	0.3918551997
160	0.3916335251
161	0.3910544443
162	0.3903563056
163	0.3896628378
164	0.3886220633
165	0.3883842507
166	0.3878047919
167	0.3870218129
168	0.3862443787
169	0.3855154488
170	0.3843075411
171	0.383755911
172	0.3836884274
173	0.3829166435
174	0.3824284869
175	0.3818733141
176	0.381393954
177	0.3808938121
178	0.3802633533
179	0.3795028193
180	0.3789511217
181	0.3781517218
182	0.3772724044
183	0.3761702681
184	0.3755543642
185	0.3747114058
186	0.3740128229
187	0.3730684773
188	0.3721697804
189	0.371450139
190	0.3709831117
191	0.3702996473
192	0.3698453355
193	0.3686808866
194	0.368047595
195	0.3675737358
196	0.3668785163
197	0.3660962581
198	0.3655258416
199	0.3645303258
200	0.3640212359
201	0.3636158708
202	0.3627709539
203	0.3620569581
204	0.3611419951
205	0.3606074595
206	0.3600833894
207	0.3592027189
208	0.3581813474
209	0.357569455
210	0.3566875634
211	0.3559180081
212	0.3552830165
213	0.3542410616
214	0.3536404405
215	0.3532199811
216	0.3524027697
217	0.3520072819
218	0.3512715152
219	0.350611267
220	0.3498590898
221	0.3491336587
222	0.3485880398
223	0.3480140529
224	0.3475931694
225	0.3471199733
226	0.3464973824
227	0.345887879
228	0.3455480983
229	0.3449267321
230	0.3444656948
231	0.3439260005
232	0.3435855771
233	0.3430678252
234	0.3427145351
235	0.3420785388
236	0.3414423563
237	0.3410172147
238	0.3402488428
239	0.3399990573
240	0.3392557434
241	0.3386679221
242	0.3381580937
243	0.3377968126
244	0.3368553724
245	0.3364188631
246	0.3357756914
247	0.3352693285
248	0.3348172109
249	0.334225054
250	0.333530258
251	0.3332912807
252	0.3327128042
253	0.3324059428
254	0.332027083
255	0.3313166029
256	0.3305062553
257	0.3300275487
258	0.3295525506
259	0.3287982117
260	0.3278560491
261	0.3273338315
262	0.3270274951
263	0.3260251505
264	0.3252474692
265	0.3244178113
266	0.3238322546
267	0.3231940304
268	0.3227259175
269	0.3221408756
270	0.3214952765
271	0.3214452988
272	0.3208777233
273	0.3207135089
274	0.3199735395
275	0.3193319091
276	0.3193053107
277	0.3188363736
278	0.3181986475
279	0.3175636301
280	0.3170029265
281	0.3165137359
282	0.3160115277
283	0.3151972999
284	0.3144903081
285	0.3140820267
286	0.3138256208
287	0.3130451207
288	0.3125707433
289	0.3118918333
290	0.3113876458
291	0.3108690817
292	0.3103473112
293	0.3097661759
294	0.3092792977
295	0.3087560385
296	0.3083255418
297	0.3076144712
298	0.3071239072
299	0.3067183709
300	0.3062309937
301	0.3055007426
302	0.3048954967
303	0.3043973363
304	0.3035996169
305	0.3031208708
306	0.3024131203
307	0.3018323879
308	0.3015204198
309	0.3007639909
310	0.3003823299
311	0.3001061626
312	0.2996586111
313	0.2991263559
314	0.2985155737
315	0.2981708835
316	0.2977586693
317	0.2969336296
318	0.2963331984
319	0.2957352843
320	0.2954132295
321	0.2948825629
322	0.2940732406
323	0.2938152076
324	0.2930252396
325	0.2924487481
326	0.2922195314
327	0.2916142997
328	0.2913097584
329	0.2905998314
330	0.2901209385
331	0.289548703
332	0.2888876897
333	0.2884588078
334	0.2877272554
335	0.2872940894
336	0.2864093716
337	0.2860519797
338	0.2850183971
339	0.2848091417
340	0.2843187873
341	0.2838796502
342	0.2835056221
343	0.2829002409
344	0.2827002872
345	0.2822882424
346	0.2818502927
347	0.2813551468
348	0.2805787859
349	0.2804811715
350	0.2801211702
351	0.2797423991
352	0.2791688658
353	0.2787519034
354	0.2780716635
355	0.2777503151
356	0.2774139943
357	0.2768571233
358	0.2765212031
359	0.2762109884
360	0.275563598
361	0.2752905032
362	0.2748856125
363	0.2743965449
364	0.2738266047
365	0.273356465
366	0.2729240679
367	0.2723598593
368	0.2720180752
369	0.2714300687
370	0.2711011406
371	0.270687119
372	0.2702433325
373	0.2701825083
374	0.2698756134
375	0.2693491185
376	0.2688040927
377	0.2683546508
378	0.2682019085
379	0.2678056081
380	0.2674766047
381	0.2670454386
382	0.2664179222
383	0.2662985382
384	0.2659852588
385	0.2651874505
386	0.264807426
387	0.2644540225
388	0.2639675643
389	0.2633658339
390	0.2626810666
391	0.2621308368
392	0.2616299984
393	0.2616166382
394	0.2615370109
395	0.2612588755
396	0.2609421786
397	0.2609019932
398	0.2605076032
399	0.2599388299
400	0.2595299281
401	0.2591339083
402	0.2588281266
403	0.2582705116
404	0.2578271111
405	0.2568446584
406	0.2563299578
407	0.2559019816
408	0.2553725742
409	0.2546185361
410	0.2542702502
411	0.2537604848
412	0.2533903125
413	0.2529780863
414	0.2522694096
415	0.2520488661
416	0.2516337588
417	0.2513579992
418	0.25093287
419	0.2504634265
420	0.2500486686
421	0.2495261081
422	0.2493249398
423	0.2488666898
424	0.2485767265
425	0.2480032552
426	0.2473797085
427	0.2467851722
428	0.2463724047
429	0.2459152423
430	0.2453289986
431	0.2448674179
432	0.2443560174
433	0.243894398
434	0.2435474566
435	0.2432339436
436	0.2429898932
437	0.2426777871
438	0.2421232133
439	0.2416615742
440	0.2412174628
441	0.2408670828
442	0.2403985243
443	0.2397287847
444	0.2394849701
445	0.2394697697
446	0.2390232176
447	0.2384576935
448	0.2380132167
449	0.2378021771
450	0.2374289103
451	0.237070437
452	0.2366267038
453	0.2362825453
454	0.2359724862
455	0.2357501443
456	0.2353658624
457	0.2350879754
