iter	Logloss
458	0.2348536497
459	0.234517784
460	0.2341502174
461	0.2336596406
462	0.2330455708
463	0.232552075
464	0.2325344046
465	0.2320064661
466	0.2318173606
467	0.2312152993
468	0.230805436
469	0.230492424
470	0.2301903719
471	0.2297072155
472	0.229359233
473	0.2292146997
474	0.2288508398
475	0.2282695102
476	0.2280075174
477	0.2277466917
478	0.2273812397
479	0.2269613964
480	0.226904379
481	0.2264998804
482	0.226072274
483	0.2257298144
484	0.2254812943
485	0.2252308434
486	0.2252156619
487	0.2245919837
488	0.2241001538
489	0.2238225534
490	0.2235561557
491	0.2231156644
492	0.2228584429
493	0.2226201238
494	0.2224883802
495	0.2220469443
496	0.2218058719
497	0.2214668694
498	0.2211954254
499	0.2206066989
