match_id,datetime,league,gender_bucket,home_prior_wr,away_prior_wr,prior_wr_diff,q1_diff,q2_diff,ht_home,ht_away,ht_diff,gp_count,gp_last,gp_peak_home,gp_peak_away,gp_area_home,gp_area_away,gp_area_diff,gp_mean_abs,gp_swings,pbp_home_plays,pbp_away_plays,pbp_plays_diff,pbp_home_3pt,pbp_away_3pt,pbp_3pt_diff,target_q3_home_win
15677078,2026-03-07T13:00:00,"Basket Liga, Women, Playout",women,0.0,0.0,0.0,-6,14,48,40,8,24,8,12,6,84,25,59,4.541666666666667,2,32,28,4,5,4,1,0
14453593,2026-03-07T13:30:00,Austrian Women's Basketball Bundesliga,women,0.0,0.0,0.0,8,17,48,23,25,24,32,32,0,327,0,327,13.625,0,28,15,13,8,2,6,1
14554242,2026-03-07T13:30:00,U21 Espoirs Elite,men_or_open,0.0,0.0,0.0,18,-7,41,30,11,24,13,21,1,287,1,286,12.0,1,25,25,0,7,4,3,0
14554243,2026-03-07T13:30:00,U21 Espoirs Elite,men_or_open,0.0,0.0,0.0,-4,3,29,30,-1,24,-1,5,5,9,67,-58,3.1666666666666665,3,20,20,0,1,5,-4,1
14554246,2026-03-07T13:30:00,U21 Espoirs Elite,men_or_open,0.0,0.0,0.0,-3,1,43,45,-2,24,0,7,7,30,40,-10,2.9166666666666665,1,29,30,-1,3,4,-1,1
14456387,2026-03-07T14:00:00,Poland 1st Division Basketball,men_or_open,0.0,0.0,0.0,6,-3,53,50,3,24,5,7,1,112,0,112,4.666666666666667,0,41,28,13,4,8,-4,1
14554244,2026-03-07T14:00:00,U21 Espoirs Elite,men_or_open,0.0,0.0,0.0,8,-5,36,33,3,24,3,14,0,154,0,154,6.416666666666667,0,23,23,0,3,5,-2,1
14758592,2026-03-07T14:00:00,Stoiximan GBL,men_or_open,0.0,0.0,0.0,19,-4,54,39,15,24,21,22,0,371,0,371,15.458333333333334,0,36,22,14,5,6,-1,1
14902154,2026-03-07T14:00:00,I A MCKL,men_or_open,0.0,0.0,0.0,-7,1,36,42,-6,24,0,0,10,0,117,-117,4.875,0,24,25,-1,6,1,5,0
15402606,2026-03-07T14:00:00,"NBL, Championship Round",men_or_open,0.0,0.0,0.0,5,9,59,45,14,24,17,17,0,194,0,194,8.083333333333334,0,37,32,5,7,3,4,1
15535312,2026-03-07T14:00:00,"NKL, Championship Round",men_or_open,0.0,0.0,0.0,-7,3,45,49,-4,24,-1,3,7,5,70,-65,3.125,2,27,28,-1,7,9,-2,0
15535319,2026-03-07T14:00:00,"NKL, Championship Round",men_or_open,0.0,0.0,0.0,15,6,49,28,21,24,31,31,0,357,0,357,14.875,0,28,18,10,10,1,9,1
15535326,2026-03-07T14:00:00,"NKL, Championship Round",men_or_open,0.0,0.0,0.0,0,-1,39,40,-1,24,6,6,4,24,18,6,1.75,4,26,23,3,5,5,0,1
15535328,2026-03-07T14:00:00,"NKL, Championship Round",men_or_open,0.0,0.0,0.0,-2,-7,45,54,-9,24,-14,2,14,4,137,-133,5.875,3,30,36,-6,3,6,-3,0
15535339,2026-03-07T14:00:00,"NKL, Relegation Round",men_or_open,0.0,0.0,0.0,1,5,56,50,6,24,8,8,4,57,10,47,2.7916666666666665,8,32,30,2,10,4,6,0
15633691,2026-03-07T14:00:00,"Kvindebasketligaen , Kvartfinaler",men_or_open,0.0,0.0,0.0,9,14,50,27,23,24,26,26,2,313,0,313,13.041666666666666,0,32,23,9,5,0,5,1
15655494,2026-03-07T14:00:00,RKL Division A,men_or_open,0.0,0.0,0.0,-2,7,58,53,5,24,6,10,7,81,26,55,4.458333333333333,1,35,27,8,8,11,-3,1
15665930,2026-03-07T14:00:00,"Poland 2nd Basketball League, Runda Zasadnicza",men_or_open,0.0,0.0,0.0,10,4,47,33,14,24,17,18,2,248,0,248,10.333333333333334,0,33,22,11,8,4,4,1
15665945,2026-03-07T14:00:00,"Poland 2nd Basketball League, Runda Zasadnicza",men_or_open,0.0,0.0,0.0,5,16,50,29,21,24,27,29,4,255,11,244,11.083333333333334,3,31,18,13,11,4,7,1
15665946,2026-03-07T14:00:00,"Poland 2nd Basketball League, Runda Zasadnicza",men_or_open,0.0,0.0,0.0,-2,-9,38,49,-11,24,-22,4,22,17,113,-96,5.416666666666667,5,23,36,-13,5,6,-1,0
15492709,2026-03-07T14:15:00,"CN1 Basquetebol, 2ª Fase - Grupo Promoção Sul",men_or_open,0.0,0.0,0.0,-3,0,30,33,-3,24,-6,1,8,2,103,-101,4.375,2,17,22,-5,2,3,-1,0
15637186,2026-03-07T14:15:00,"Campeonato Nacional da 1ª Divisao Feminina, 2ª Fase - Grupo Promoção",men_or_open,0.0,0.0,0.0,-4,-19,30,53,-23,24,-23,-2,26,0,283,-283,11.791666666666666,0,18,30,-12,4,8,-4,0
14453590,2026-03-07T14:30:00,Austrian Women's Basketball Bundesliga,women,0.0,0.0,0.0,-8,-3,37,48,-11,24,-10,0,11,0,159,-159,6.625,0,21,25,-4,2,3,-1,1
14456681,2026-03-07T14:30:00,Prva Liga,men_or_open,0.0,0.0,0.0,29,-1,61,33,28,24,35,35,3,562,0,562,23.416666666666668,0,33,20,13,8,5,3,1
14775107,2026-03-07T14:30:00,Liga Nationala,men_or_open,0.0,0.0,0.0,-4,-3,45,52,-7,24,-5,6,7,16,77,-61,3.875,5,26,31,-5,8,7,1,1
15265197,2026-03-07T14:30:00,Argentina Liga Nacional,men_or_open,0.0,0.0,0.0,1,3,43,39,4,24,3,7,4,34,23,11,2.375,5,28,23,5,5,4,1,0
15654693,2026-03-07T14:30:00,"1 Liga Kobiet, Runda Zasadnicza",men_or_open,0.0,0.0,0.0,7,-8,27,28,-1,24,8,11,1,102,1,101,4.291666666666667,2,18,19,-1,2,2,0,1
14456683,2026-03-07T15:00:00,Prva Liga,men_or_open,0.0,0.0,0.0,-1,-10,36,47,-11,24,-10,3,13,10,94,-84,4.333333333333333,4,25,27,-2,5,4,1,1
14456684,2026-03-07T15:00:00,Prva Liga,men_or_open,0.0,0.0,0.0,-12,0,47,59,-12,24,-8,3,14,4,185,-181,7.875,1,33,35,-2,8,9,-1,1
14500881,2026-03-07T15:00:00,Turkish Basketball Super League,men_or_open,0.0,0.0,0.0,0,21,50,29,21,24,24,24,3,237,3,234,10.0,2,31,19,12,3,1,2,1
14531234,2026-03-07T15:00:00,1. Division,men_or_open,0.0,0.0,0.0,-6,1,32,37,-5,24,-12,1,12,1,111,-110,4.666666666666667,2,18,26,-8,4,1,3,0
14563093,2026-03-07T15:00:00,Cyprus Basketball Division A,men_or_open,0.0,0.0,0.0,3,3,43,37,6,24,15,15,1,157,0,157,6.541666666666667,0,29,22,7,7,4,3,1
14612035,2026-03-07T15:00:00,Portugal LFB Women,women,0.0,0.0,0.0,9,19,45,17,28,24,32,32,0,360,0,360,15.0,0,28,11,17,5,1,4,1
14612036,2026-03-07T15:00:00,Portugal LFB Women,women,0.0,0.0,0.0,0,-2,42,44,-2,24,-13,3,13,5,60,-55,2.7083333333333335,4,26,29,-3,5,6,-1,0
14640950,2026-03-07T15:00:00,Swedish Basketball League Women,women,0.0,0.0,0.0,-11,6,29,34,-5,24,1,4,16,9,151,-142,6.666666666666667,2,22,22,0,2,3,-1,1
15204086,2026-03-07T15:00:00,Estonian-Latvian Basketball League,men_or_open,0.0,0.0,0.0,1,9,46,36,10,24,15,15,7,122,43,79,6.875,1,28,22,6,8,6,2,1
15305896,2026-03-07T15:00:00,Superleague,men_or_open,0.0,0.0,0.0,3,-11,33,41,-8,24,-6,8,10,62,50,12,4.666666666666667,3,20,27,-7,10,4,6,1
15441242,2026-03-07T15:00:00,"Korisliiga, Championship round",men_or_open,0.0,0.0,0.0,-1,15,49,35,14,24,12,18,6,132,36,96,7.0,1,31,27,4,6,4,2,1
15441295,2026-03-07T15:00:00,"Extraliga, Women, Relegation Round",women,0.0,0.0,0.0,0,-12,30,42,-12,24,-24,3,24,8,127,-119,5.625,4,18,30,-12,2,3,-1,0
15494393,2026-03-07T15:00:00,"Liga Femenina, Women, Clausura",women,0.0,0.0,0.0,-17,0,36,53,-17,24,-13,-3,19,0,311,-311,12.958333333333334,0,28,27,1,1,9,-8,0
15499849,2026-03-07T15:00:00,Jedinstvena kadetska liga,men_or_open,0.0,0.0,0.0,-9,9,36,36,0,24,-2,3,12,5,108,-103,4.708333333333333,4,22,27,-5,7,3,4,0
15504624,2026-03-07T15:00:00,"France LF2, Women, Phase 1",women,0.0,0.0,0.0,-2,-4,40,46,-6,24,-13,4,13,8,116,-108,5.166666666666667,4,24,35,-11,7,6,1,0
15504633,2026-03-07T15:00:00,1st Division Women,women,0.0,0.0,0.0,-8,-12,41,61,-20,24,-16,3,20,3,248,-245,10.458333333333334,1,24,34,-10,8,12,-4,1
15504638,2026-03-07T15:00:00,"CN1 Basquetebol, 2ª Fase - Grupo Promoção Sul",men_or_open,0.0,0.0,0.0,10,-6,42,38,4,24,2,12,0,136,0,136,5.666666666666667,0,24,26,-2,3,1,2,0
15521565,2026-03-07T15:00:00,"FSHB Superliga, K.K.M 2025-26",men_or_open,0.0,0.0,0.0,-9,-6,37,52,-15,24,-25,-1,25,0,282,-282,11.75,0,20,38,-18,5,5,0,0
15535340,2026-03-07T15:00:00,"NKL, Relegation Round",men_or_open,0.0,0.0,0.0,-5,-1,40,46,-6,24,-7,2,10,3,107,-104,4.583333333333333,2,28,33,-5,4,5,-1,0
15535349,2026-03-07T15:00:00,"NKL, Relegation Round",men_or_open,0.0,0.0,0.0,8,4,60,48,12,24,7,12,2,165,2,163,6.958333333333333,1,33,28,5,10,8,2,0
15589581,2026-03-07T15:00:00,"Basketligaen, Championship round",men_or_open,0.0,0.0,0.0,-6,0,46,52,-6,24,10,11,11,28,84,-56,4.666666666666667,1,30,31,-1,10,8,2,1
15665927,2026-03-07T15:00:00,"Poland 2nd Basketball League, Runda Zasadnicza",men_or_open,0.0,0.0,0.0,7,-3,42,38,4,24,1,8,2,77,6,71,3.4583333333333335,6,22,20,2,6,8,-2,1
15665931,2026-03-07T15:00:00,"Poland 2nd Basketball League, Runda Zasadnicza",men_or_open,0.0,0.0,0.0,-9,3,40,46,-6,24,-13,4,14,8,134,-126,5.916666666666667,1,28,29,-1,4,8,-4,1
15665940,2026-03-07T15:00:00,"Poland 2nd Basketball League, Runda Zasadnicza",men_or_open,0.0,0.0,0.0,5,3,48,40,8,24,3,13,2,137,2,135,5.791666666666667,2,27,31,-4,7,7,0,1
15663075,2026-03-07T15:15:00,"Azerbaijan Basketball League, A Group",men_or_open,0.0,0.0,0.0,8,1,53,44,9,24,14,14,1,126,1,125,5.291666666666667,2,35,28,7,6,2,4,1
14508803,2026-03-07T15:30:00,2nd League,men_or_open,0.0,0.0,0.0,11,22,64,31,33,24,39,39,1,432,1,431,18.041666666666668,1,40,21,19,4,3,1,1
14554247,2026-03-07T15:30:00,U21 Espoirs Elite,men_or_open,0.0,0.0,0.0,5,-6,34,35,-1,24,0,12,2,88,5,83,3.875,3,21,21,0,6,6,0,1
14563269,2026-03-07T16:00:00,Estonian-Latvian Basketball League,men_or_open,0.0,0.0,0.0,-1,-3,42,46,-4,24,3,5,6,30,25,5,2.2916666666666665,4,26,32,-6,10,5,5,1
14612034,2026-03-07T16:00:00,Portugal LFB Women,women,0.0,0.0,0.0,3,2,36,31,5,24,10,10,1,102,0,102,4.25,0,25,18,7,6,6,0,1
14612038,2026-03-07T16:00:00,Portugal LFB Women,women,0.0,0.0,0.0,14,6,59,39,20,24,17,20,2,322,0,322,13.416666666666666,0,35,23,12,8,10,-2,1
14775109,2026-03-07T16:00:00,Liga Nationala,men_or_open,0.0,0.0,0.0,9,-14,38,43,-5,24,-8,11,8,99,44,55,5.958333333333333,2,26,25,1,2,8,-6,0
14902157,2026-03-07T16:00:00,I A MCKL,men_or_open,0.0,0.0,0.0,-6,12,47,41,6,24,1,6,6,47,30,17,3.2083333333333335,4,26,23,3,5,6,-1,0
15366219,2026-03-07T16:00:00,"Portugal Proliga, Championship Round",men_or_open,0.0,0.0,0.0,14,0,51,37,14,24,18,18,4,279,0,279,11.625,0,31,19,12,4,6,-2,1
15441239,2026-03-07T16:00:00,"Korisliiga, Championship round",men_or_open,0.0,0.0,0.0,-12,8,35,39,-4,24,-1,0,13,0,175,-175,7.291666666666667,0,23,22,1,2,6,-4,0
15485293,2026-03-07T16:00:00,"ABA Liga, Relegation Round",men_or_open,0.0,0.0,0.0,-4,8,35,31,4,24,4,9,5,33,59,-26,3.8333333333333335,1,22,19,3,3,2,1,0
15499835,2026-03-07T16:00:00,"Slovenian Second Basketball League, Regular Season",men_or_open,0.0,0.0,0.0,-24,-2,28,54,-26,24,-22,0,26,0,433,-433,18.041666666666668,0,24,31,-7,2,5,-3,0
15507021,2026-03-07T16:00:00,"1. liga, Women",women,0.0,0.0,0.0,-11,12,26,25,1,24,-9,1,13,1,144,-143,6.041666666666667,2,16,16,0,1,5,-4,0
15654688,2026-03-07T16:00:00,"1 Liga Kobiet, Runda Zasadnicza",men_or_open,0.0,0.0,0.0,10,-8,38,36,2,24,6,12,3,135,5,130,5.833333333333333,1,26,22,4,4,6,-2,1
15654691,2026-03-07T16:00:00,"1 Liga Kobiet, Runda Zasadnicza",men_or_open,0.0,0.0,0.0,9,4,34,21,13,24,19,19,2,238,2,236,10.0,1,25,16,9,4,0,4,1
15655495,2026-03-07T16:00:00,RKL Division A,men_or_open,0.0,0.0,0.0,-1,3,38,36,2,24,7,7,5,27,27,0,2.25,6,26,17,9,1,8,-7,0
15665928,2026-03-07T16:00:00,"Poland 2nd Basketball League, Runda Zasadnicza",men_or_open,0.0,0.0,0.0,-4,4,42,42,0,24,-3,2,7,6,62,-56,2.8333333333333335,4,26,25,1,5,9,-4,1
15665932,2026-03-07T16:00:00,"Poland 2nd Basketball League, Runda Zasadnicza",men_or_open,0.0,0.0,0.0,-5,1,38,42,-4,24,-2,0,8,0,102,-102,4.25,0,25,27,-2,3,5,-2,1
15665942,2026-03-07T16:00:00,"Poland 2nd Basketball League, Runda Zasadnicza",men_or_open,0.0,0.0,0.0,-7,7,50,50,0,24,-2,1,9,2,98,-96,4.166666666666667,1,31,29,2,4,10,-6,0
15677947,2026-03-07T16:00:00,"NCAA Women's Division I, Regular season",women,0.0,0.0,0.0,-2,-2,25,29,-4,24,-2,1,8,1,60,-59,2.5416666666666665,2,15,16,-1,3,2,1,1
14758591,2026-03-07T16:15:00,Stoiximan GBL,men_or_open,0.0,0.0,0.0,9,-3,49,43,6,24,17,18,0,210,0,210,8.75,0,35,23,12,7,6,1,1
14758593,2026-03-07T16:15:00,Stoiximan GBL,men_or_open,0.0,0.0,0.0,-4,-4,35,43,-8,24,-4,0,11,0,114,-114,4.75,0,24,22,2,7,8,-1,1
15505104,2026-03-07T16:15:00,1st Division Women,women,0.0,0.0,0.0,10,-1,35,26,9,24,5,16,2,179,4,175,7.625,3,21,20,1,2,2,0,0
14508804,2026-03-07T16:30:00,2nd League,men_or_open,0.0,0.0,0.0,-1,11,49,39,10,24,3,10,3,74,11,63,3.5416666666666665,4,26,26,0,6,8,-2,0
14531481,2026-03-07T16:30:00,Swiss Basketball League Women,women,0.0,0.0,0.0,-10,-14,26,50,-24,24,-24,5,26,12,330,-318,14.25,3,20,31,-11,3,7,-4,0
14531482,2026-03-07T16:30:00,Swiss Basketball League Women,women,0.0,0.0,0.0,8,3,29,18,11,24,4,14,1,201,0,201,8.375,0,20,16,4,3,3,0,0
14531483,2026-03-07T16:30:00,Swiss Basketball League Women,women,0.0,0.0,0.0,4,14,47,29,18,24,19,19,4,220,6,214,9.416666666666666,1,28,20,8,5,2,3,0
15366218,2026-03-07T16:30:00,"Portugal Proliga, Championship Round",men_or_open,0.0,0.0,0.0,9,5,45,31,14,24,14,17,1,242,0,242,10.083333333333334,0,31,27,4,5,1,4,1
15492679,2026-03-07T16:30:00,"CN1 Basquetebol, 2ª Fase - Grupo Manutenção Sul",men_or_open,0.0,0.0,0.0,-3,-4,43,50,-7,24,-10,-1,10,0,124,-124,5.166666666666667,0,26,34,-8,7,6,1,0
15526950,2026-03-07T16:30:00,"Austrian Basketball Superliga, Championship Round",men_or_open,0.0,0.0,0.0,-13,8,48,53,-5,24,-9,-5,18,0,258,-258,10.75,0,32,30,2,7,9,-2,0
15566022,2026-03-07T16:30:00,1. A SKL,men_or_open,0.0,0.0,0.0,-8,3,49,54,-5,24,0,0,9,0,112,-112,4.666666666666667,0,32,28,4,5,11,-6,1
15637203,2026-03-07T16:30:00,"Campeonato Nacional da 1ª Divisao Feminina, 2ª Fase - Grupo Promoção",men_or_open,0.0,0.0,0.0,-6,2,21,25,-4,24,-4,5,8,18,58,-40,3.1666666666666665,2,16,18,-2,3,3,0,1
15665941,2026-03-07T16:30:00,"Poland 2nd Basketball League, Runda Zasadnicza",men_or_open,0.0,0.0,0.0,-5,1,31,35,-4,24,5,5,10,14,70,-56,3.5,4,20,19,1,5,2,3,1
14456395,2026-03-07T17:00:00,Poland 1st Division Basketball,men_or_open,0.0,0.0,0.0,3,-7,33,37,-4,24,-2,6,4,52,22,30,3.0833333333333335,1,24,27,-3,4,4,0,0
14456686,2026-03-07T17:00:00,Prva Liga,men_or_open,0.0,0.0,0.0,2,1,62,59,3,24,9,9,2,77,7,70,3.5,3,39,37,2,8,7,1,1
14491546,2026-03-07T17:00:00,Liga ACB,men_or_open,0.0,0.0,0.0,6,3,46,37,9,24,7,10,2,155,0,155,6.458333333333333,0,25,26,-1,9,4,5,1
14508806,2026-03-07T17:00:00,2nd League,men_or_open,0.0,0.0,0.0,1,8,46,37,9,24,7,9,2,101,7,94,4.5,2,29,26,3,3,3,0,1
14508807,2026-03-07T17:00:00,2nd League,men_or_open,0.0,0.0,0.0,4,6,41,31,10,24,11,13,1,159,1,158,6.666666666666667,2,25,22,3,9,4,5,0
14531075,2026-03-07T17:00:00,Switzerland LNA,men_or_open,0.0,0.0,0.0,6,31,65,28,37,24,43,45,5,425,19,406,18.5,3,35,19,16,13,2,11,1
