target,model,samples_total,samples_train,samples_test,accuracy,f1,precision,recall,log_loss,brier,roc_auc
q3,logreg,6411,5128,1283,0.717069,0.738661,0.70082,0.780822,0.545657,0.183972,0.801851
q3,rf,6411,5128,1283,0.667186,0.706529,0.64411,0.782344,0.605013,0.208913,0.740862
q3,gb,6411,5128,1283,0.70226,0.730606,0.680683,0.788432,0.563996,0.191351,0.78177
q3,ensemble_avg_prob,6411,5128,1283,0.706157,0.732814,0.685676,0.78691,0.553561,0.187274,0.793733
