match_id,datetime,league,league_bucket,gender_bucket,home_team_bucket,away_team_bucket,home_prior_wr,away_prior_wr,prior_wr_diff,prior_wr_sum,q1_diff,q2_diff,q3_diff,q3_total,score_3q_home,score_3q_away,score_3q_diff,gp_count,gp_last,gp_peak_home,gp_peak_away,gp_area_home,gp_area_away,gp_area_diff,gp_mean_abs,gp_swings,pbp_home_plays,pbp_away_plays,pbp_plays_diff,pbp_home_3pt,pbp_away_3pt,pbp_3pt_diff,pbp_home_plays_share,pbp_home_3pt_share,global_diff,global_abs_diff,is_tied,trailing_is_home,trailing_is_away,trailing_points_to_tie,trailing_points_to_lead,remaining_minutes_target,required_ppm_tie,required_ppm_lead,trailing_points_per_min,leading_points_per_min,trailing_points_per_play,trailing_play_share,trailing_plays_per_min,req_pts_per_trailing_event,pressure_ratio_tie,pressure_ratio_lead,scoring_gap_per_min,urgency_index,trailing_3pt_rate,clutch_window_minutes,clutch_scoring_events,clutch_home_points,clutch_away_points,clutch_points_diff,clutch_home_event_share,clutch_home_max_run_pts,clutch_away_max_run_pts,clutch_run_diff,clutch_last_scoring_home,clutch_last_scoring_away,target_q4_home_win
15616437,2026-02-28T14:00:00,"Poland 2nd Basketball League, Runda Zasadnicza","Poland 2nd Basketball League, Runda Zasadnicza",men_or_open,TEAM_OTHER,TEAM_OTHER,0.0,0.0,0.0,0.0,4,-14,-16,44,56,82,-26,36,-33,4,34,17,447,-430,12.88888888888889,4,38,56,-18,5,7,-2,0.40425531914893614,0.4166666666666667,-26,26,0,1,0,26,27,12.0,2.1666666666666665,2.25,1.5555555555555556,2.2777777777777777,1.4736842105263157,0.40425531914893614,1.0555555555555556,2.0526315789473686,1.3928571428571428,1.4464285714285714,-0.7222222222222221,3.8749999999999996,0.13157894736842105,6.0,23,16,25,-9,0.43478260869565216,4,10,-6,1,0,0
15616459,2026-02-28T14:00:00,"1 Liga Kobiet, Runda Zasadnicza",LEAGUE_OTHER,men_or_open,TEAM_OTHER,TEAM_OTHER,0.0,0.0,0.0,0.0,2,-8,3,23,41,44,-3,36,-7,9,8,40,110,-70,4.166666666666667,1,22,34,-12,10,1,9,0.39285714285714285,0.9090909090909091,-3,3,0,1,0,3,4,12.0,0.25,0.3333333333333333,1.1388888888888888,1.2222222222222223,1.8636363636363635,0.39285714285714285,0.6111111111111112,0.40909090909090906,0.21951219512195122,0.2926829268292683,-0.08333333333333348,0.36111111111111116,0.45454545454545453,6.0,13,13,12,1,0.38461538461538464,5,4,1,1,0,0
15619736,2026-02-28T14:00:00,RKL Division A,LEAGUE_OTHER,men_or_open,TEAM_OTHER,TEAM_OTHER,0.0,0.0,0.0,0.0,6,2,4,32,69,57,12,36,20,20,0,329,0,329,9.13888888888889,0,48,37,11,7,4,3,0.5647058823529412,0.6363636363636364,12,12,0,0,1,12,13,12.0,1.0,1.0833333333333333,1.5833333333333333,1.9166666666666667,1.5405405405405406,0.43529411764705883,1.0277777777777777,0.9729729729729729,0.6315789473684211,0.6842105263157895,-0.3333333333333335,1.4444444444444444,0.10810810810810811,6.0,15,12,10,2,0.5333333333333333,4,4,0,0,1,1
15619739,2026-02-28T14:00:00,RKL Division A,LEAGUE_OTHER,men_or_open,TEAM_OTHER,TEAM_OTHER,0.0,0.0,0.0,0.0,-2,12,6,48,77,61,16,36,20,20,2,335,2,333,9.36111111111111,2,53,45,8,10,5,5,0.5408163265306123,0.6666666666666666,16,16,0,0,1,16,17,12.0,1.3333333333333333,1.4166666666666667,1.6944444444444444,2.138888888888889,1.3555555555555556,0.45918367346938777,1.25,1.0666666666666664,0.7868852459016393,0.8360655737704918,-0.4444444444444444,2.0462962962962963,0.1111111111111111,6.0,24,25,16,9,0.5416666666666666,6,4,2,0,1,1
15616442,2026-02-28T14:30:00,"Poland 2nd Basketball League, Runda Zasadnicza","Poland 2nd Basketball League, Runda Zasadnicza",men_or_open,TEAM_OTHER,TEAM_OTHER,0.0,0.0,0.0,0.0,-10,2,8,46,67,67,0,36,2,2,14,6,210,-204,6.0,5,47,35,12,5,16,-11,0.573170731707317,0.23809523809523808,0,0,1,0,0,0,0,12.0,0.0,0.0,1.8611111111111112,1.8611111111111112,1.425531914893617,0.573170731707317,1.3055555555555556,0.0,0.0,0.0,0.0,0.0,0.3404255319148936,6.0,19,23,13,10,0.6842105263157895,8,3,5,0,1,0
15627335,2026-02-28T14:30:00,Liga e Parë,LEAGUE_OTHER,men_or_open,TEAM_OTHER,TEAM_OTHER,0.0,0.0,0.0,0.0,2,9,17,37,62,34,28,36,28,29,2,455,7,448,12.833333333333334,6,31,22,9,12,4,8,0.5849056603773585,0.75,28,28,0,0,1,28,29,12.0,2.3333333333333335,2.4166666666666665,0.9444444444444444,1.7222222222222223,1.5454545454545454,0.41509433962264153,0.6111111111111112,3.818181818181818,2.4705882352941178,2.5588235294117645,-0.7777777777777779,4.296296296296297,0.18181818181818182,6.0,16,20,9,11,0.625,13,4,9,0,1,1
15616433,2026-02-28T16:00:00,"Poland 2nd Basketball League, Runda Zasadnicza","Poland 2nd Basketball League, Runda Zasadnicza",men_or_open,TEAM_OTHER,TEAM_OTHER,0.0,0.0,0.0,0.0,5,-21,-5,37,47,68,-21,36,-25,5,27,21,397,-376,11.61111111111111,5,36,42,-6,5,10,-5,0.46153846153846156,0.3333333333333333,-21,21,0,1,0,21,22,12.0,1.75,1.8333333333333333,1.3055555555555556,1.8888888888888888,1.3055555555555556,0.46153846153846156,1.0,1.75,1.3404255319148937,1.404255319148936,-0.5833333333333333,2.9027777777777777,0.1388888888888889,6.0,15,13,17,-4,0.5333333333333333,4,5,-1,0,1,1
15616434,2026-02-28T16:00:00,"Poland 2nd Basketball League, Runda Zasadnicza","Poland 2nd Basketball League, Runda Zasadnicza",men_or_open,TEAM_OTHER,TEAM_OTHER,0.0,0.0,0.0,0.0,-8,-3,1,45,61,71,-10,36,6,6,14,7,257,-250,7.333333333333333,1,42,36,6,10,9,1,0.5384615384615384,0.5263157894736842,-10,10,0,1,0,10,11,12.0,0.8333333333333334,0.9166666666666666,1.6944444444444444,1.9722222222222223,1.4523809523809523,0.5384615384615384,1.1666666666666667,0.7142857142857143,0.49180327868852464,0.540983606557377,-0.2777777777777779,1.1712962962962963,0.23809523809523808,6.0,18,25,12,13,0.7222222222222222,6,3,3,1,0,1
15616440,2026-02-28T16:00:00,"Poland 2nd Basketball League, Runda Zasadnicza","Poland 2nd Basketball League, Runda Zasadnicza",men_or_open,TEAM_OTHER,TEAM_OTHER,0.0,0.0,0.0,0.0,0,0,-9,37,56,65,-9,36,-12,2,12,3,145,-142,4.111111111111111,4,32,40,-8,5,7,-2,0.4444444444444444,0.4166666666666667,-9,9,0,1,0,9,10,12.0,0.75,0.8333333333333334,1.5555555555555556,1.8055555555555556,1.75,0.4444444444444444,0.8888888888888888,0.84375,0.48214285714285715,0.5357142857142857,-0.25,1.0416666666666667,0.15625,6.0,13,10,15,-5,0.38461538461538464,2,6,-4,1,0,0
15616443,2026-02-28T16:00:00,"Poland 2nd Basketball League, Runda Zasadnicza","Poland 2nd Basketball League, Runda Zasadnicza",men_or_open,TEAM_OTHER,TEAM_OTHER,0.0,0.0,0.0,0.0,13,4,-4,40,69,56,13,36,28,28,0,496,0,496,13.777777777777779,0,40,30,10,14,10,4,0.5714285714285714,0.5833333333333334,13,13,0,0,1,13,14,12.0,1.0833333333333333,1.1666666666666667,1.5555555555555556,1.9166666666666667,1.8666666666666667,0.42857142857142855,0.8333333333333334,1.3000000000000003,0.6964285714285714,0.75,-0.36111111111111116,1.587962962962963,0.3333333333333333,6.0,15,19,15,4,0.5333333333333333,10,8,2,0,1,1
