target,model,samples_total,samples_train,samples_test,accuracy,f1,precision,recall,log_loss,brier,roc_auc
q4,logreg,6418,5134,1284,0.760903,0.778019,0.770774,0.785401,0.492629,0.161144,0.845965
q4,rf,6418,5134,1284,0.738318,0.768276,0.728105,0.813139,0.570951,0.192559,0.807024
q4,gb,6418,5134,1284,0.757009,0.778094,0.758669,0.79854,0.497837,0.164152,0.83955
q4,ensemble_avg_prob,6418,5134,1284,0.760125,0.780314,0.762901,0.79854,0.496486,0.16256,0.848185
