match_id,datetime,league,league_bucket,gender_bucket,home_team_bucket,away_team_bucket,home_prior_wr,away_prior_wr,prior_wr_diff,prior_wr_sum,q1_diff,q2_diff,ht_home,ht_away,ht_diff,ht_total,gp_count,gp_last,gp_peak_home,gp_peak_away,gp_area_home,gp_area_away,gp_area_diff,gp_mean_abs,gp_swings,pbp_home_plays,pbp_away_plays,pbp_plays_diff,pbp_home_3pt,pbp_away_3pt,pbp_3pt_diff,pbp_home_plays_share,pbp_home_3pt_share,global_diff,global_abs_diff,is_tied,trailing_is_home,trailing_is_away,trailing_points_to_tie,trailing_points_to_lead,remaining_minutes_target,required_ppm_tie,required_ppm_lead,trailing_points_per_min,leading_points_per_min,trailing_points_per_play,trailing_play_share,trailing_plays_per_min,req_pts_per_trailing_event,pressure_ratio_tie,pressure_ratio_lead,scoring_gap_per_min,urgency_index,trailing_3pt_rate,clutch_window_minutes,clutch_scoring_events,clutch_home_points,clutch_away_points,clutch_points_diff,clutch_home_event_share,clutch_home_max_run_pts,clutch_away_max_run_pts,clutch_run_diff,clutch_last_scoring_home,clutch_last_scoring_away,target_q3_home_win
15665951,2026-03-08T16:00:00,"Poland 2nd Basketball League, Runda Zasadnicza","Poland 2nd Basketball League, Runda Zasadnicza",men_or_open,TEAM_OTHER,TEAM_OTHER,0.0,0.0,0.0,0.0,14,-1,50,37,13,87,24,12,20,2,331,0,331,13.791666666666666,0,31,29,2,9,4,5,0.5166666666666667,0.6923076923076923,13,13,0,0,1,13,14,12.0,1.0833333333333333,1.1666666666666667,1.5416666666666667,2.0833333333333335,1.2758620689655173,0.48333333333333334,1.2083333333333333,0.896551724137931,0.7027027027027026,0.7567567567567568,-0.5416666666666667,1.7986111111111114,0.13793103448275862,6.0,15,12,16,-4,0.26666666666666666,6,8,-2,0,1,0
15665955,2026-03-08T16:30:00,"Poland 2nd Basketball League, Runda Zasadnicza","Poland 2nd Basketball League, Runda Zasadnicza",men_or_open,TEAM_OTHER,TEAM_OTHER,0.0,0.0,0.0,0.0,-3,-17,36,56,-20,92,24,-16,6,20,12,195,-183,8.625,2,26,27,-1,4,10,-6,0.49056603773584906,0.2857142857142857,-20,20,0,1,0,20,21,12.0,1.6666666666666667,1.75,1.5,2.3333333333333335,1.3846153846153846,0.49056603773584906,1.0833333333333333,1.5384615384615385,1.1111111111111112,1.1666666666666667,-0.8333333333333335,3.2083333333333335,0.15384615384615385,6.0,11,5,18,-13,0.2727272727272727,4,11,-7,0,1,1
15655441,2026-03-08T17:00:00,"1. Liga, Relegation Round",LEAGUE_OTHER,men_or_open,TEAM_OTHER,TEAM_OTHER,0.0,0.0,0.0,0.0,8,17,59,34,25,93,24,37,37,0,385,0,385,16.041666666666668,0,33,18,15,11,4,7,0.6470588235294118,0.7333333333333333,25,25,0,0,1,25,26,12.0,2.0833333333333335,2.1666666666666665,1.4166666666666667,2.4583333333333335,1.8888888888888888,0.35294117647058826,0.75,2.7777777777777777,1.4705882352941178,1.5294117647058822,-1.0416666666666667,4.423611111111112,0.2222222222222222,6.0,12,17,8,9,0.75,9,3,6,0,1,1
15665950,2026-03-08T17:00:00,"Poland 2nd Basketball League, Runda Zasadnicza","Poland 2nd Basketball League, Runda Zasadnicza",men_or_open,TEAM_OTHER,TEAM_OTHER,0.0,0.0,0.0,0.0,-4,1,34,37,-3,71,24,0,3,9,9,65,-56,3.0833333333333335,2,20,19,1,6,7,-1,0.5128205128205128,0.46153846153846156,-3,3,0,1,0,3,4,12.0,0.25,0.3333333333333333,1.4166666666666667,1.5416666666666667,1.7,0.5128205128205128,0.8333333333333334,0.3,0.1764705882352941,0.2352941176470588,-0.125,0.375,0.3,6.0,7,11,5,6,0.7142857142857143,7,3,4,1,0,1
15665954,2026-03-08T17:00:00,"Poland 2nd Basketball League, Runda Zasadnicza","Poland 2nd Basketball League, Runda Zasadnicza",men_or_open,TEAM_OTHER,TEAM_OTHER,0.0,0.0,0.0,0.0,0,5,55,50,5,105,24,2,5,5,44,11,33,2.2916666666666665,8,27,36,-9,12,2,10,0.42857142857142855,0.8571428571428571,5,5,0,0,1,5,6,12.0,0.4166666666666667,0.5,2.0833333333333335,2.2916666666666665,1.3888888888888888,0.5714285714285714,1.5,0.2777777777777778,0.19999999999999998,0.24,-0.20833333333333304,0.6041666666666665,0.05555555555555555,6.0,18,21,15,6,0.4444444444444444,5,4,1,1,0,1
15683212,2026-03-08T17:00:00,Regular season,Regular season,men_or_open,Duke Blue Devils,TEAM_OTHER,0.0,0.0,0.0,0.0,-7,5,30,32,-2,62,24,-7,2,9,5,89,-84,3.9166666666666665,4,20,20,0,5,5,0,0.5,0.5,-2,2,0,1,0,2,3,12.0,0.16666666666666666,0.25,1.25,1.3333333333333333,1.5,0.5,0.8333333333333334,0.2,0.13333333333333333,0.2,-0.08333333333333326,0.2708333333333333,0.25,6.0,7,8,6,2,0.5714285714285714,5,4,1,0,1,0
15683974,2026-03-08T18:15:00,Regular season,Regular season,men_or_open,UCLA Bruins,TEAM_OTHER,0.0,0.0,0.0,0.0,17,5,42,20,22,62,24,27,30,3,382,4,378,16.083333333333332,1,25,14,11,8,4,4,0.6410256410256411,0.6666666666666666,22,22,0,0,1,22,23,12.0,1.8333333333333333,1.9166666666666667,0.8333333333333334,1.75,1.4285714285714286,0.358974358974359,0.5833333333333334,3.142857142857143,2.1999999999999997,2.3,-0.9166666666666666,3.673611111111111,0.2857142857142857,6.0,8,10,9,1,0.5,5,3,2,0,1,1
15683011,2026-03-08T18:30:00,Regular season,Regular season,men_or_open,Connecticut Huskies,TEAM_OTHER,0.0,0.0,0.0,0.0,20,15,57,22,35,79,24,39,41,3,548,0,548,22.833333333333332,0,30,14,16,10,5,5,0.6818181818181818,0.6666666666666666,35,35,0,0,1,35,36,12.0,2.9166666666666665,3.0,0.9166666666666666,2.375,1.5714285714285714,0.3181818181818182,0.5833333333333334,5.0,3.1818181818181817,3.272727272727273,-1.4583333333333335,7.375,0.35714285714285715,6.0,9,18,5,13,0.7777777777777778,8,3,5,1,0,1
15683231,2026-03-08T18:30:00,Regular season,Regular season,men_or_open,TEAM_OTHER,TEAM_OTHER,0.0,0.0,0.0,0.0,4,0,28,24,4,52,24,6,7,5,63,15,48,3.25,2,16,15,1,7,5,2,0.5161290322580645,0.5833333333333334,4,4,0,0,1,4,5,12.0,0.3333333333333333,0.4166666666666667,1.0,1.1666666666666667,1.6,0.4838709677419355,0.625,0.5333333333333333,0.3333333333333333,0.4166666666666667,-0.16666666666666674,0.48611111111111116,0.3333333333333333,6.0,7,8,7,1,0.5714285714285714,4,5,-1,1,0,1
15625798,2026-03-08T19:00:00,"NBL-United States Commissioners Cup, 2k26 Commissioners Cup",LEAGUE_OTHER,men_or_open,TEAM_OTHER,TEAM_OTHER,0.0,0.0,0.0,0.0,4,6,50,40,10,90,24,19,19,3,143,7,136,6.25,1,37,21,16,5,6,-1,0.6379310344827587,0.45454545454545453,10,10,0,0,1,10,11,12.0,0.8333333333333334,0.9166666666666666,1.6666666666666667,2.0833333333333335,1.9047619047619047,0.3620689655172414,0.875,0.9523809523809523,0.5,0.5499999999999999,-0.41666666666666674,1.2986111111111112,0.2857142857142857,6.0,16,17,15,2,0.5,14,8,6,0,1,1
