target,model,samples_total,samples_train,samples_test,accuracy,f1,precision,recall,log_loss,brier,roc_auc
q3,logreg,6384,5107,1277,0.711042,0.730853,0.698745,0.766055,0.576274,0.190197,0.791372
q3,gb,6384,5107,1277,0.698512,0.724014,0.681511,0.772171,0.553414,0.188139,0.790947
q3,ensemble_avg_prob,6384,5107,1277,0.711042,0.731636,0.697642,0.769113,0.543206,0.184742,0.799014
q3,ensemble_weighted,6384,5107,1277,0.710258,0.731495,0.696133,0.770642,0.543907,0.184832,0.798617
