,correctos_mean,fallos_mean,diff,pct_diff
pbp_total,87.11429709279172,86.75930680359436,0.3549902891973602,0.4
pbp_q1,25.003185981680605,24.98074454428755,0.022441437393055708,0.1
pbp_q2,25.55794504181601,25.456996148908857,0.10094889290715159,0.4
pbp_q3,25.57825567502987,25.22785622593068,0.3503994490991893,1.4
gp_upto,27.0,27.0,0.0,0.0
score_total,109.83552369573874,109.23491655969191,0.6006071360468326,0.5
score_diff_mag,11.738351254480287,11.310654685494223,0.42769656898606456,3.8
pbp_density,3.2265671047391478,3.213369704749679,0.013197399989468561,0.4
pts_per_pbp,1.2682795698924731,1.2665596919127087,0.0017198779797644725,0.1
last5_gp,6.0,6.0,0.0,0.0
lead_changes,0.0,0.0,0.0,
prior_wr_diff_mag,0.0,0.0,0.0,
