feature,corr,abs_corr,n
h2h_avg_game_diff,0.1654,0.1654,11622
h2h_home_wr,0.1249,0.1249,11622
h2h_recent3_home_won,0.1249,0.1249,11622
h2h_last_home_won,0.1102,0.1102,11622
h2h_avg_q1_diff,0.1094,0.1094,11622
h2h_avg_q2_diff,0.0993,0.0993,11622
h2h_avg_q3_diff,0.0929,0.0929,11604
h2h_avg_q4_diff,0.0834,0.0834,11603
h2h_q1_home_wr,0.0782,0.0782,11622
h2h_q2_home_wr,0.0766,0.0766,11622
h2h_q3_home_wr,0.0667,0.0667,11604
h2h_q4_home_wr,0.0566,0.0566,11603
n_h2h,0.0115,0.0115,11622
