match_id,league,qmin,y_true,m27_pred,m27_correct,m27_prob,m30_pred,m30_correct,m30_prob,pbp_q1,pbp_q2,pbp_q3,pbp_total,gp_upto,score_total,score_diff_mag,pbp_density,pts_per_pbp,last5_gp,lead_changes,home_prior_wr,away_prior_wr,prior_wr_diff_mag,_bin
15660962,"Campeonato Nacional da 1ª Divisao Feminina, 2ª Fase - Grupo Promoção",10,0,0,1,0.4837,1,0,0.5784,25,13,18,70,27,82,14,2.59,1.17,6,0,0.5,0.5,0.0,1
15859258,"Cup, Women",10,0,1,0,0.6123,1,0,0.6313,25,19,24,74,27,87,13,2.74,1.18,6,0,0.5,0.5,0.0,1
15899094,"1. SKL, Women, Playoffs",10,1,1,1,0.6157,1,1,0.6612,17,22,26,73,27,91,1,2.7,1.25,6,0,0.5,0.5,0.0,1
15908401,"Premier League, Women, Playoffs",10,0,0,1,0.2864,1,0,0.5174,20,23,23,75,27,95,5,2.78,1.27,6,0,0.5,0.5,0.0,1
15909339,"FBU Superleague, Playoffs",10,0,1,0,0.5249,1,0,0.6344,24,26,23,81,27,102,6,3.0,1.26,6,0,0.5,0.5,0.0,2
15917640,"Korisliiga, Playoffs",10,1,1,1,0.6609,1,1,0.5149,19,31,23,85,27,105,1,3.15,1.24,6,0,0.5,0.5,0.0,2
15927486,"FSHB Superliga, K.K.M 2025-26",10,1,1,1,0.6574,1,1,0.5439,28,38,28,113,27,142,0,4.19,1.26,6,0,0.5,0.5,0.0,2
15934429,"1. Division B, Playoffs",10,0,0,1,0.2465,1,0,0.5268,28,29,29,97,27,134,22,3.59,1.38,6,0,0.5,0.5,0.0,2
15935779,"1. Division B, Playoffs",10,0,0,1,0.4824,1,0,0.5179,26,29,31,92,27,122,18,3.41,1.33,6,0,0.5,0.5,0.0,2
15945952,"EYBL U16, CHALLENGE CUP",10,0,0,1,0.3997,1,0,0.5425,21,19,22,76,27,87,7,2.81,1.14,6,0,0.5,0.5,0.0,1
14220536,Liga Femenina,10,1,0,0,0.3826,0,0,0.3118,18,24,20,69,27,98,6,2.56,1.42,6,0,0.5,0.5,0.0,1
15265294,Argentina Liga Nacional,10,0,1,0,0.6924,1,0,0.5197,33,27,24,95,27,117,5,3.52,1.23,6,0,0.5,0.5,0.0,2
15665854,Bulgaria NBL,10,1,0,0,0.3994,1,1,0.5436,23,36,26,99,27,135,3,3.67,1.36,6,0,0.5,0.5,0.0,2
15936401,"EGBL U19, Superfinal",10,1,1,1,0.6122,1,1,0.6301,19,25,24,80,27,94,6,2.96,1.18,6,0,0.5,0.5,0.0,1
14195110,"SLB, Women",10,1,0,0,0.4446,0,0,0.4602,22,23,17,79,27,101,11,2.93,1.28,6,0,0.5,0.5,0.0,2
14374303,Hungary NB 1.A,10,1,1,1,0.584,1,1,0.5068,33,26,23,91,27,121,1,3.37,1.33,6,0,0.5,0.5,0.0,2
14500899,Turkish Basketball Super League,10,0,0,1,0.1716,0,1,0.4217,26,23,26,83,27,105,19,3.07,1.27,6,0,0.5,0.5,0.0,2
14554285,U21 Espoirs Elite,10,0,1,0,0.6493,1,0,0.601,26,24,26,84,27,103,19,3.11,1.23,6,0,0.5,0.5,0.0,2
14602699,Portugal LBP,10,1,0,0,0.3956,0,0,0.3962,22,25,18,76,27,97,13,2.81,1.28,6,0,0.5,0.5,0.0,1
14624155,Meridianbet KLS,10,1,1,1,0.5495,1,1,0.6408,32,30,29,107,27,134,6,3.96,1.25,6,0,0.5,0.5,0.0,2
14624158,Meridianbet KLS,10,0,0,1,0.4613,1,0,0.6217,34,36,28,113,27,124,8,4.19,1.1,6,0,0.5,0.5,0.0,2
14706479,1st Division,10,0,1,0,0.5276,0,1,0.3918,24,17,22,70,27,96,4,2.59,1.37,6,0,0.5,0.5,0.0,1
14821252,Princ Caffe Superliga,10,0,0,1,0.2903,1,0,0.549,23,27,28,91,27,120,4,3.37,1.32,6,0,0.5,0.5,0.0,2
14902184,I A MCKL,10,0,0,1,0.4174,0,1,0.4684,29,22,24,83,27,108,22,3.07,1.3,6,0,0.5,0.5,0.0,2
14902188,I A MCKL,10,1,1,1,0.7254,1,1,0.5616,24,20,20,75,27,95,23,2.78,1.27,6,0,0.5,0.5,0.0,1
14902196,I A MCKL,10,1,1,1,0.5553,1,1,0.6211,25,28,28,109,27,123,5,4.04,1.13,6,0,0.5,0.5,0.0,2
15663080,Sparkasse Prva Liga Zeni,10,1,1,1,0.7072,1,1,0.5131,29,18,24,81,27,98,22,3.0,1.21,6,0,0.5,0.5,0.0,1
15665853,Bulgaria NBL,10,1,0,0,0.4361,0,0,0.4705,28,23,27,85,27,109,9,3.15,1.28,6,0,0.5,0.5,0.0,2
15857133,"NKL, Playoffs",10,1,1,1,0.8033,1,1,0.6172,28,36,30,106,27,123,3,3.93,1.16,6,0,0.5,0.5,0.0,2
15865993,"Portugal LFB Women, Playoffs",10,0,1,0,0.5514,1,0,0.5576,26,21,22,84,27,89,5,3.11,1.06,6,0,0.5,0.5,0.0,1
15921109,"LNB, Women, Playoffs",10,0,0,1,0.3265,1,0,0.6241,29,18,22,75,27,89,7,2.78,1.19,6,0,0.5,0.5,0.0,1
15922589,"EYBL U15, CHALLENGE CUP",10,0,1,0,0.5216,0,1,0.4751,21,20,18,69,27,80,22,2.56,1.16,6,0,0.5,0.5,0.0,1
15944259,"EYBL U17, SUPERFINAL - 02./05.04.2026 - Warsaw, Poland",10,1,1,1,0.6821,1,1,0.5643,20,18,24,75,27,76,8,2.78,1.01,6,0,0.5,0.5,0.0,1
14758616,Stoiximan GBL,10,1,1,1,0.69,1,1,0.5359,28,27,28,97,27,122,10,3.59,1.26,6,0,0.5,0.5,0.0,2
14758619,Stoiximan GBL,10,1,0,0,0.3317,0,0,0.2672,21,26,22,79,27,103,43,2.93,1.3,6,0,0.5,0.5,0.0,2
14128962,Polish Basketball League,10,0,0,1,0.4782,1,0,0.5102,28,25,36,100,27,103,17,3.7,1.03,6,0,0.5,0.5,0.0,2
14531096,Switzerland LNA,10,1,0,0,0.3983,1,1,0.5383,33,32,36,112,27,137,13,4.15,1.22,6,0,0.5,0.5,0.0,2
14531097,Switzerland LNA,10,0,1,0,0.7254,1,0,0.5528,27,30,32,95,27,114,14,3.52,1.2,6,0,0.5,0.5,0.0,2
14531098,Switzerland LNA,10,0,0,1,0.3614,1,0,0.5232,18,29,29,86,27,109,3,3.19,1.27,6,0,0.5,0.5,0.0,2
15366230,"Portugal Proliga, Championship Round",10,0,0,1,0.3664,1,0,0.6223,33,20,28,93,27,107,15,3.44,1.15,6,0,0.5,0.5,0.0,2
15366240,"Portugal Proliga, Championship Round",10,0,1,0,0.5472,1,0,0.5949,25,31,24,89,27,109,31,3.3,1.22,6,0,0.5,0.5,0.0,2
15402640,"NBL, Championship Round",10,1,0,0,0.2954,0,0,0.3076,32,28,29,96,27,121,27,3.56,1.26,6,0,0.5,0.5,0.0,2
15526951,"Austrian Basketball Superliga, Qualifying Round",10,1,1,1,0.5902,1,1,0.6351,33,32,25,103,27,136,6,3.81,1.32,6,0,0.5,0.5,0.0,2
15566033,1. A SKL,10,0,0,1,0.35,0,1,0.4421,21,24,20,70,27,86,4,2.59,1.23,6,0,0.5,0.5,0.0,1
15663078,"Campeonato Nacional da 1ª Divisao Feminina, 2ª Fase - Grupo Manutenção Sul",10,1,0,0,0.2459,0,0,0.4523,29,28,27,95,27,117,1,3.52,1.23,6,0,0.5,0.5,0.0,2
15663079,Sparkasse Prva Liga Zeni,10,1,0,0,0.4116,1,1,0.5122,19,16,29,80,27,73,13,2.96,0.91,6,0,0.5,0.5,0.0,1
15706631,SuperSport Premijer Liga,10,1,0,0,0.3968,0,0,0.3547,11,25,18,65,27,107,9,2.41,1.65,6,0,0.5,0.5,0.0,2
15881944,"LF Challenge, Regular Season",10,1,1,1,0.5166,1,1,0.6263,26,20,22,82,27,123,23,3.04,1.5,6,0,0.5,0.5,0.0,2
14055422,Tipos SBL,10,0,0,1,0.3699,1,0,0.5217,28,26,28,91,27,111,19,3.37,1.22,6,0,0.5,0.5,0.0,2
14055423,Tipos SBL,10,1,1,1,0.7266,1,1,0.6138,30,32,13,85,27,131,21,3.15,1.54,6,0,0.5,0.5,0.0,2
14055424,Tipos SBL,10,0,1,0,0.5184,0,1,0.4762,22,26,17,78,27,94,4,2.89,1.21,6,0,0.5,0.5,0.0,1
14055426,Tipos SBL,10,1,0,0,0.3931,0,0,0.4295,26,22,28,82,27,98,2,3.04,1.2,6,0,0.5,0.5,0.0,1
14055427,Tipos SBL,10,1,0,0,0.3896,0,0,0.4433,18,30,20,80,27,102,2,2.96,1.27,6,0,0.5,0.5,0.0,2
14195111,"SLB, Women",10,0,1,0,0.5381,0,1,0.3782,17,23,23,70,27,89,5,2.59,1.27,6,0,0.5,0.5,0.0,1
14220532,Liga Femenina,10,1,1,1,0.5309,0,0,0.4123,19,25,22,75,27,91,11,2.78,1.21,6,0,0.5,0.5,0.0,1
14270291,France Pro A,10,1,1,1,0.5696,0,0,0.457,22,30,25,90,27,110,4,3.33,1.22,6,0,0.5,0.5,0.0,2
14374298,Hungary NB 1.A,10,0,0,1,0.2612,0,1,0.4633,22,27,24,79,27,118,24,2.93,1.49,6,0,0.5,0.5,0.0,2
14374299,Hungary NB 1.A,10,0,0,1,0.4894,1,0,0.5058,20,22,20,74,27,103,5,2.74,1.39,6,0,0.5,0.5,0.0,2
14374300,Hungary NB 1.A,10,0,1,0,0.588,0,1,0.4109,21,26,20,78,27,115,1,2.89,1.47,6,0,0.5,0.5,0.0,2
14374301,Hungary NB 1.A,10,0,1,0,0.6747,1,0,0.5875,47,33,22,113,27,138,10,4.19,1.22,6,0,0.5,0.5,0.0,2
14374304,Hungary NB 1.A,10,1,0,0,0.4226,0,0,0.3769,29,18,16,74,27,95,1,2.74,1.28,6,0,0.5,0.5,0.0,1
14456426,Poland 1st Division Basketball,10,1,1,1,0.6995,1,1,0.6032,22,26,30,87,27,105,9,3.22,1.21,6,0,0.5,0.5,0.0,2
14491599,Liga ACB,10,1,0,0,0.3595,0,0,0.4366,32,30,25,92,27,119,3,3.41,1.29,6,0,0.5,0.5,0.0,2
